Corpus,Amount,Duplicates
87901,2,"[87901, 41957038]"
39544692,2,"[8550084, 39544692]"
110259207,2,"[20860974, 110259207]"
189767007,2,"[34121973, 189767007]"
13404794,3,"[13404794, 195882725, 195881183]"
81382798,2,"[80856932, 81382798]"
122114331,2,"[122114331, 189830870]"
32889979,2,"[32889979, 5094391]"
45834164,2,"[34768682, 45834164]"
44605647,3,"[27096309, 41038582, 44605647]"
37905154,2,"[37905154, 208525988]"
77539241,3,"[77539241, 40114684, 39584813]"
